"layer","date"
1,2000-02-01
2,2000-03-01
3,2000-04-01
4,2000-05-01
5,2000-06-01
6,2000-07-01
7,2000-08-01
8,2000-09-01
9,2000-10-01
10,2000-11-01
11,2000-12-01
12,2001-01-01
13,2001-02-01
14,2001-03-01
15,2001-04-01
16,2001-05-01
17,2001-06-01
18,2001-07-01
19,2001-08-01
20,2001-09-01
21,2001-10-01
22,2001-11-01
23,2001-12-01
24,2002-01-01
25,2002-02-01
26,2002-03-01
27,2002-04-01
28,2002-05-01
29,2002-06-01
30,2002-07-01
31,2002-08-01
32,2002-09-01
33,2002-10-01
34,2002-11-01
35,2002-12-01
36,2003-01-01
37,2003-02-01
38,2003-03-01
39,2003-04-01
40,2003-05-01
41,2003-06-01
42,2003-07-01
43,2003-08-01
44,2003-09-01
45,2003-10-01
46,2003-11-01
47,2003-12-01
48,2004-01-01
49,2004-02-01
50,2004-03-01
51,2004-04-01
52,2004-05-01
53,2004-06-01
54,2004-07-01
55,2004-08-01
56,2004-09-01
57,2004-10-01
58,2004-11-01
59,2004-12-01
60,2005-01-01
61,2005-02-01
62,2005-03-01
63,2005-04-01
64,2005-05-01
65,2005-06-01
66,2005-07-01
67,2005-08-01
68,2005-09-01
69,2005-10-01
70,2005-11-01
71,2005-12-01
72,2006-01-01
73,2006-02-01
74,2006-03-01
75,2006-04-01
76,2006-05-01
77,2006-06-01
78,2006-07-01
79,2006-08-01
80,2006-09-01
81,2006-10-01
82,2006-11-01
83,2006-12-01
84,2007-01-01
85,2007-02-01
86,2007-03-01
87,2007-04-01
88,2007-05-01
89,2007-06-01
90,2007-07-01
91,2007-08-01
92,2007-09-01
93,2007-10-01
94,2007-11-01
95,2007-12-01
96,2008-01-01
97,2008-02-01
98,2008-03-01
99,2008-04-01
100,2008-05-01
101,2008-06-01
102,2008-07-01
103,2008-08-01
104,2008-09-01
105,2008-10-01
106,2008-11-01
107,2008-12-01
108,2009-01-01
109,2009-02-01
110,2009-03-01
111,2009-04-01
112,2009-05-01
113,2009-06-01
114,2009-07-01
115,2009-08-01
116,2009-09-01
117,2009-10-01
118,2009-11-01
119,2009-12-01
120,2010-01-01
121,2010-02-01
122,2010-03-01
123,2010-04-01
124,2010-05-01
125,2010-06-01
126,2010-07-01
127,2010-08-01
128,2010-09-01
129,2010-10-01
130,2010-11-01
131,2010-12-01
132,2011-01-01
133,2011-02-01
134,2011-03-01
135,2011-04-01
136,2011-05-01
137,2011-06-01
138,2011-07-01
139,2011-08-01
140,2011-09-01
141,2011-10-01
142,2011-11-01
143,2011-12-01
144,2012-01-01
145,2012-02-01
146,2012-03-01
147,2012-04-01
148,2012-05-01
149,2012-06-01
150,2012-07-01
151,2012-08-01
152,2012-09-01
153,2012-10-01
154,2012-11-01
155,2012-12-01
156,2013-01-01
157,2013-02-01
158,2013-03-01
159,2013-04-01
160,2013-05-01
161,2013-06-01
162,2013-07-01
163,2013-08-01
164,2013-09-01
165,2013-10-01
166,2013-11-01
167,2013-12-01
168,2014-01-01
169,2014-02-01
170,2014-03-01
171,2014-04-01
172,2014-05-01
173,2014-06-01
174,2014-07-01
175,2014-08-01
176,2014-09-01
177,2014-10-01
178,2014-11-01
179,2014-12-01
180,2015-01-01
181,2015-02-01
182,2015-03-01
183,2015-04-01
184,2015-05-01
185,2015-06-01
186,2015-07-01
187,2015-08-01
188,2015-09-01
189,2015-10-01
190,2015-11-01
191,2015-12-01
192,2016-01-01
193,2016-02-01
194,2016-03-01
195,2016-04-01
196,2016-05-01
197,2016-06-01
198,2016-07-01
199,2016-08-01
200,2016-09-01
201,2016-10-01
202,2016-11-01
203,2016-12-01
204,2017-01-01
205,2017-02-01
206,2017-03-01
207,2017-04-01
208,2017-05-01
209,2017-06-01
210,2017-07-01
211,2017-08-01
212,2017-09-01
213,2017-10-01
214,2017-11-01
215,2017-12-01
216,2018-01-01
217,2018-02-01
218,2018-03-01
219,2018-04-01
220,2018-05-01
221,2018-06-01
222,2018-07-01
223,2018-08-01
224,2018-09-01
225,2018-10-01
226,2018-11-01
227,2018-12-01
228,2019-01-01
229,2019-02-01
230,2019-03-01
231,2019-04-01
232,2019-05-01
233,2019-06-01
