"layer","date","month","season"
1,2000-02-01,2,"winter"
2,2000-03-01,3,"spring"
3,2000-04-01,4,"spring"
4,2000-05-01,5,"spring"
5,2000-06-01,6,"summer"
6,2000-07-01,7,"summer"
7,2000-08-01,8,"summer"
8,2000-09-01,9,"fall"
9,2000-10-01,10,"fall"
10,2000-11-01,11,"fall"
11,2000-12-01,12,"winter"
12,2001-01-01,1,"winter"
13,2001-02-01,2,"winter"
14,2001-03-01,3,"spring"
15,2001-04-01,4,"spring"
16,2001-05-01,5,"spring"
17,2001-06-01,6,"summer"
18,2001-07-01,7,"summer"
19,2001-08-01,8,"summer"
20,2001-09-01,9,"fall"
21,2001-10-01,10,"fall"
22,2001-11-01,11,"fall"
23,2001-12-01,12,"winter"
24,2002-01-01,1,"winter"
25,2002-02-01,2,"winter"
26,2002-03-01,3,"spring"
27,2002-04-01,4,"spring"
28,2002-05-01,5,"spring"
29,2002-06-01,6,"summer"
30,2002-07-01,7,"summer"
31,2002-08-01,8,"summer"
32,2002-09-01,9,"fall"
33,2002-10-01,10,"fall"
34,2002-11-01,11,"fall"
35,2002-12-01,12,"winter"
36,2003-01-01,1,"winter"
37,2003-02-01,2,"winter"
38,2003-03-01,3,"spring"
39,2003-04-01,4,"spring"
40,2003-05-01,5,"spring"
41,2003-06-01,6,"summer"
42,2003-07-01,7,"summer"
43,2003-08-01,8,"summer"
44,2003-09-01,9,"fall"
45,2003-10-01,10,"fall"
46,2003-11-01,11,"fall"
47,2003-12-01,12,"winter"
48,2004-01-01,1,"winter"
49,2004-02-01,2,"winter"
50,2004-03-01,3,"spring"
51,2004-04-01,4,"spring"
52,2004-05-01,5,"spring"
53,2004-06-01,6,"summer"
54,2004-07-01,7,"summer"
55,2004-08-01,8,"summer"
56,2004-09-01,9,"fall"
57,2004-10-01,10,"fall"
58,2004-11-01,11,"fall"
59,2004-12-01,12,"winter"
60,2005-01-01,1,"winter"
61,2005-02-01,2,"winter"
62,2005-03-01,3,"spring"
63,2005-04-01,4,"spring"
64,2005-05-01,5,"spring"
65,2005-06-01,6,"summer"
66,2005-07-01,7,"summer"
67,2005-08-01,8,"summer"
68,2005-09-01,9,"fall"
69,2005-10-01,10,"fall"
70,2005-11-01,11,"fall"
71,2005-12-01,12,"winter"
72,2006-01-01,1,"winter"
73,2006-02-01,2,"winter"
74,2006-03-01,3,"spring"
75,2006-04-01,4,"spring"
76,2006-05-01,5,"spring"
77,2006-06-01,6,"summer"
78,2006-07-01,7,"summer"
79,2006-08-01,8,"summer"
80,2006-09-01,9,"fall"
81,2006-10-01,10,"fall"
82,2006-11-01,11,"fall"
83,2006-12-01,12,"winter"
84,2007-01-01,1,"winter"
85,2007-02-01,2,"winter"
86,2007-03-01,3,"spring"
87,2007-04-01,4,"spring"
88,2007-05-01,5,"spring"
89,2007-06-01,6,"summer"
90,2007-07-01,7,"summer"
91,2007-08-01,8,"summer"
92,2007-09-01,9,"fall"
93,2007-10-01,10,"fall"
94,2007-11-01,11,"fall"
95,2007-12-01,12,"winter"
96,2008-01-01,1,"winter"
97,2008-02-01,2,"winter"
98,2008-03-01,3,"spring"
99,2008-04-01,4,"spring"
100,2008-05-01,5,"spring"
101,2008-06-01,6,"summer"
102,2008-07-01,7,"summer"
103,2008-08-01,8,"summer"
104,2008-09-01,9,"fall"
105,2008-10-01,10,"fall"
106,2008-11-01,11,"fall"
107,2008-12-01,12,"winter"
108,2009-01-01,1,"winter"
109,2009-02-01,2,"winter"
110,2009-03-01,3,"spring"
111,2009-04-01,4,"spring"
112,2009-05-01,5,"spring"
113,2009-06-01,6,"summer"
114,2009-07-01,7,"summer"
115,2009-08-01,8,"summer"
116,2009-09-01,9,"fall"
117,2009-10-01,10,"fall"
118,2009-11-01,11,"fall"
119,2009-12-01,12,"winter"
120,2010-01-01,1,"winter"
121,2010-02-01,2,"winter"
122,2010-03-01,3,"spring"
123,2010-04-01,4,"spring"
124,2010-05-01,5,"spring"
125,2010-06-01,6,"summer"
126,2010-07-01,7,"summer"
127,2010-08-01,8,"summer"
128,2010-09-01,9,"fall"
129,2010-10-01,10,"fall"
130,2010-11-01,11,"fall"
131,2010-12-01,12,"winter"
132,2011-01-01,1,"winter"
133,2011-02-01,2,"winter"
134,2011-03-01,3,"spring"
135,2011-04-01,4,"spring"
136,2011-05-01,5,"spring"
137,2011-06-01,6,"summer"
138,2011-07-01,7,"summer"
139,2011-08-01,8,"summer"
140,2011-09-01,9,"fall"
141,2011-10-01,10,"fall"
142,2011-11-01,11,"fall"
143,2011-12-01,12,"winter"
144,2012-01-01,1,"winter"
145,2012-02-01,2,"winter"
146,2012-03-01,3,"spring"
147,2012-04-01,4,"spring"
148,2012-05-01,5,"spring"
149,2012-06-01,6,"summer"
150,2012-07-01,7,"summer"
151,2012-08-01,8,"summer"
152,2012-09-01,9,"fall"
153,2012-10-01,10,"fall"
154,2012-11-01,11,"fall"
155,2012-12-01,12,"winter"
156,2013-01-01,1,"winter"
157,2013-02-01,2,"winter"
158,2013-03-01,3,"spring"
159,2013-04-01,4,"spring"
160,2013-05-01,5,"spring"
161,2013-06-01,6,"summer"
162,2013-07-01,7,"summer"
163,2013-08-01,8,"summer"
164,2013-09-01,9,"fall"
165,2013-10-01,10,"fall"
166,2013-11-01,11,"fall"
167,2013-12-01,12,"winter"
168,2014-01-01,1,"winter"
169,2014-02-01,2,"winter"
170,2014-03-01,3,"spring"
171,2014-04-01,4,"spring"
172,2014-05-01,5,"spring"
173,2014-06-01,6,"summer"
174,2014-07-01,7,"summer"
175,2014-08-01,8,"summer"
176,2014-09-01,9,"fall"
177,2014-10-01,10,"fall"
178,2014-11-01,11,"fall"
179,2014-12-01,12,"winter"
180,2015-01-01,1,"winter"
181,2015-02-01,2,"winter"
182,2015-03-01,3,"spring"
183,2015-04-01,4,"spring"
184,2015-05-01,5,"spring"
185,2015-06-01,6,"summer"
186,2015-07-01,7,"summer"
187,2015-08-01,8,"summer"
188,2015-09-01,9,"fall"
189,2015-10-01,10,"fall"
190,2015-11-01,11,"fall"
191,2015-12-01,12,"winter"
192,2016-01-01,1,"winter"
193,2016-02-01,2,"winter"
194,2016-03-01,3,"spring"
195,2016-04-01,4,"spring"
196,2016-05-01,5,"spring"
197,2016-06-01,6,"summer"
198,2016-07-01,7,"summer"
199,2016-08-01,8,"summer"
200,2016-09-01,9,"fall"
201,2016-10-01,10,"fall"
202,2016-11-01,11,"fall"
203,2016-12-01,12,"winter"
204,2017-01-01,1,"winter"
205,2017-02-01,2,"winter"
206,2017-03-01,3,"spring"
207,2017-04-01,4,"spring"
208,2017-05-01,5,"spring"
209,2017-06-01,6,"summer"
210,2017-07-01,7,"summer"
211,2017-08-01,8,"summer"
212,2017-09-01,9,"fall"
213,2017-10-01,10,"fall"
214,2017-11-01,11,"fall"
215,2017-12-01,12,"winter"
216,2018-01-01,1,"winter"
217,2018-02-01,2,"winter"
218,2018-03-01,3,"spring"
219,2018-04-01,4,"spring"
220,2018-05-01,5,"spring"
221,2018-06-01,6,"summer"
222,2018-07-01,7,"summer"
223,2018-08-01,8,"summer"
224,2018-09-01,9,"fall"
225,2018-10-01,10,"fall"
226,2018-11-01,11,"fall"
227,2018-12-01,12,"winter"
228,2019-01-01,1,"winter"
229,2019-02-01,2,"winter"
230,2019-03-01,3,"spring"
231,2019-04-01,4,"spring"
232,2019-05-01,5,"spring"
233,2019-06-01,6,"summer"
